Metin,Durum
Ürün sıfır kutusunda ve hızlı gönderildi... Makine sakal ense ve tüyler için kullandığınızda mükemmel... Başlık kısmında ufak bir ayarla sıfırlama yaptım... Gayet iyi... Tavsiye ederim,
Evet beğendim çok güzel,
Anlatıldğı gibi çok güzel,
güzel ürün tavsiye ederim,
Gayet iyi eksiksiz ve hasarsız geldi,
urun sifir aliyor. sakal ve duzeltme icin 10 numara. piyasaya gore ucuz ve kaliteli... hic cekinmeden alin,
Ürün daha çok sakal için. Kısa saç kullananlarda alabilir. En büyük tarağı 3mm. Saçıda sakalıda zorlanmadan alıyor.,
Sadece sakal traşı için uzun yıllar kullanılır.,
Ürün on numara beş yıldız yolma koparma kesinlikle yok canavar gibi makina bastırmaya bile gerek yok on numara kesim yapıyor kimileri boş boş konuşuyor işi kıllatıyor madem kıl adamsın git bin liralık makina al. Gözünüz kapalı alabilirsiniz hayırlı günler...,
Gerçekten fiyatına göre çok iyi bir makine.,
10 yıldır powertec kullanıyorum daha önce eski modellerini kullanmıştım. Bu makineyi 1 yıldır kullanıyorum. Jilet ayarında kısalıyor, arkadaşlarda denetim onlarda çok beğendi. Şimdi üçüncüsünü teslim aldım. Marka takıntılığı yapıp alman malı olanlara enayi parası ödemeyin,
Ürün tarafıma eksik olarak gönderildi. Durumu mağazaya belirtmeme rağmen gönderim sağlamadı. Kesinlikle alışveriş yapılmayacak bir mağaza.,
sorun yok gayet iyi çalışıyor,
Güzel paketleme, hızlı gönderi, sorunsuz ürün.,
Diğer ürünlerinden de kullandım. Bu da kaliteli duruyor,
Çok güzel müthiş bir ürün,
Ürünü aldım. Kalite süper Paketleme süper Performans süper Fiyat güzel  Herkese tavsiye ederim.,
ürün güzel gayet tatmin edici ??,
Süperr ötesi gerçekten tek seferde alıyor,
Ürün gayet güzel. Temiz kullanıldığı sürece problem çıkarmaz.,
Kaliteli güçlü bir makina,
siparişim aynı gün yolda cıktı. persembe günü okuduğu için üzülüyordum babalar gününe yetişmez diye. Cuma günü elimizde oldu. minnettarım??,
Hayır begenmedım,
Makina güzel . Canavar gibi çalışıyor. Sakal için aldım tavsiye ederim. Jilettet bir numara kalın sıfıra yakın ediyor. Saçımı da sıfıra vurdum herkesin evde olduğu dönemde gayet te memnunum.,
ürün anlatıldığı gibi muhteşem teşekkürler,
bence ev kullanimlarinda cok cok ywterli,
Özellikle denedikten sonra yorum yapayım dedim. Berberim tavsiye etmişti. Kol bacak sırt göğüs harika alıyor. Tavsiye ederim.,
hemen alın düşünmeden,
ürün fena değil.malzeme kalitesi cok iyi değil.baslıkları kullanarak sakal tıraşı performansını begenmedim.baslık kullanmadan sakal tıraşı ve ense temizliginde daha iyi.,
Ürün çok hızlı geldi üründe zaten güzel teşekkürler satıcı ve N11.com ??,
Kesimi güzel. Ürün Kalitesi fena değil. Plastik Aksesuarlar kalitesiz,
Başta yetkili satıcı çok tşk ederim. Ürün anlatıldığı gibi kutusu tam ve şarjlı geliyor. Hemen tras oldum sonuç harika. Sakallarım çok sert olmasına rağmen rahat ve sıfıra yakın tıraş oldum. kesinlikle tavsiye ederim.,
Ürünü beğendim kesimi şimdilik güzel.,
Firma adaptörsüz ürün yolladi. Defalarca mail attım. Şimdiye kadar böyle hata çıkmadı kargo tutanağını ve kargo poşet resmini istedi. Kırık ürün değil ki tutanak tutturalım. Kargo görevlisi içinden adaptörü de almış olamaz çünku poset yırtık değildi. Firmaya soru sor kısmından da bir soru sordum alakasiz cevaplar yazdilar. Mail yoluyla ulastim urunun resmini attım. Yine de çözüme ulaşmadı. Böyle sorumsuz firmalardan uzak durun. Siz ürünü gönderirken niye kontrol etmiyorsunuz da benden tutanak istiyorsunuz? Bir daha asla bu firmadan ürün almam.,
Ürün sıfır traş için ideal.,
Ürün orta halli. Hiç yoktan iyi.,
Ürün yeni elime geçti . Biraz kullandım ve gayet kaliteli ,tek sıkıntısı 3 adet taragida kalitesiz gibi ama ürün parasının hakkını verdi şimdilik , 1 puan kırma nedenim dediğim gibi tarakları kalitesiz , inşallah uzun süreli kullanim için uygundur. Gönül rahatlığıyla alabilirsiniz ,umarım bu yorum sizlere yardımcı olur.,
güzel ve kibar ürün ama. bence küçük,
ürün orijinal kutusunun içinde 1,2 ve 3 mm lik 3 adet başlığı,temizleme fırçası ve taşınır şarj cihazı ile geldi.saç,sakala ve vücut kılları için fazlasıyla yeterli.kaliteli profesyonel ürün.beğendim,tavsiye ederim.,
Ürünü teslim aldım ama henüz kullanmadım ama görünürde sarjindan makinasına üç adet taraklı ucundan temizlik fırçası ve yagdanligina kadar olması gereken herşey mevcut fiyatını gozettigimizde ürün son derece yeterli görünüyor kullanmak için sabırsızlanıyorum Teşekkürler..,
ürün ve paketleme süper emeği geçen herkese teşekkürler tavsiye ederim,
Tam bir fiyat performans ürünü. Köpeklerim için aldım tüyleri hiç çekiştirmeden hızla traş etti,
Ürün fiyatına göre çok çok güzel ve kullanışlı,
Küçücük bişe, Tarak takınca almıyor bile gitti 100tl büyük güçlü birşey sanmıştım,
urun guzel evde tras icin yeterli,
Annemin saçını kesmek için aldık, son derece başarılı. Daha pahalı bir ürün almadığım için memnunum. Ürün, kutusu, içeriği özenli ve düzgündü. Satıcıdan da memnun kaldım,
ÜRÜN KESİNLİKLE SAÇ TRAŞI İÇİN UYGUN DEĞİL. ÜRÜN SAKAL TRAŞI İÇİNDE UYGUN DEĞİL. ÜRÜN KİRLİ SAKAL VE ENSE TRAŞI İÇİN UYGUN. BU ÜRÜNÜN YAPABİLECEKLERİNİ SAÇ KESİMİ MAKİNALARI DAHA İYİ YAPAR.,
manyak bir ürün, çok iyi tras ediyor,
Kullanmak fırsat olmadı. Sadece çalıyor mu diye baktım, çalışıyor. Büyük kaba değil. Ele oturuyor. Fiyatına göre kaliteli görünüyor.,
ürünü begendim Amma taraklar hariç...sadece kısa kesim yapacaklar için uygun.saç kesiminde de performansı iyi...,
evet süper her eve lazim,
Ürün güzel uzun zamandır takip ettiğim bir ürün kargo hızlı parçalar tam ama tek eksik fabrikadan en son paketleyen yada oraya gelene kadar üstüne nikelajında ve ön yüzünde darbeler var bir iki tane olsa neyse diyecem ama 7-8 adet darbe çizik var kullandıkça komple nikelajı atmazsa iyidir bakalım kesimi nasıl denemedim henüz paketi yeni açtım firma yetkililerine selamlar dikkate alırsınız umarım kalite kontrol yada paketlemeden önce son bi ürünlere bakarsanız sağına soluna iyi olur jelatın yaparsanız cihaza daha iyi olur,
Ürün sorunsuz elime ulaştı ufak bir sorum vardı mağaza yetkilisi halletti.,
Ürün kullanışlı ve kaliteli kısa saç sevenler için iyi çünkü 3 numaraya kadar tarağı var.kesimi çok iyi güzel.,
ürün resimlerde göründüğü gibi arkadaşlar güvenilir mağaza,
evet berber arkadaş tavsiye etti kendide kullaniyor güzel fiyatina göre alinabilir,
Ürün gayet güzel kullanşlı.,
Ürünü yorumlara bakarak ve kendimce fiyat performans olarak en iyisi olduğunu düşündüğüm için aldım. Alır almaz kendimi tıraş ettim. Ürünün her yerinden kalite akıyor resmen. Daha önceden defalarca tıraş makinesi alıp kullandım. Kimisinin şarjı az gidiyor, kimisinin bıçakları kılları yoluyor, kimisi çok ısınıyor, kimisinin temizliği zor. İleride sorun yaşar mıyım bilmiyorum ama ilk izlenimim ürünün çok kaliteli oluşu ve performansının fazlasıyla yeterli olmasıydı.,
Kullandığım makina teşekkür ederim kaliteli ürün,
20 gün kargo bekledim gelen ürün bozuk çıktı değişim yapılması iade gönderdim. ürünü alıp iadeyi kabul etmedi,
Ürün güzel ancak faturasız satış yapılıyor. Bozulursa garantiye veremezsiniz.,
şiddetle tavsiye ederim,
fiyat performans ürünü gayet tatmin edici,
Ürün gayet kullanışlı ve zarif. Kutusu özenle hazırlanmış. Sipariş ettiğim günün ertesi hemen kargoya verildi ve çok hızlı elime ulaştı.,
Kaç aylık kullanımım sonucu belirtmek isterim ki 2-3 kat fazla para verdiğim ürünlerden daha iyi.Keşke başlıkları farklı boylarda da olsaydı,saç keserken de istediğim şekilde kesebilseydim.Aşırı memnunum.,
Arkadaşlar ürünü daha once deneme sansim olmustu. küçük pratik ve fiyatina göre oldukça başarılı. piyasada 120 tl civari burdan 93 e aldim. Sakali kisa sürede istediginiz uzinlukta kesebilirsiniz çok pratik. Saçta da aynen basarili fakat aparatlarinda 1..2...3 kademeler var. yani sacinizi 3 numaradan uzun kesemiyorsunuz. cabuk sarj olup uzun süreli kullanmak mümkün. Tavsiye ediyorum,
Powertec markanın tüm ürünleri neredeyse kullanma şansım oldu ve tavsiye ettiğim bireyler oldu. bir önceki tıraş makinesini yaklaşık 8 yıl kullandım halada kullanıyorum en ufak bir sorun yaşamadım sadece bu ürün dikkatimi çekti ve denemek istedim ve sonuç harika. Motoru güçlü ve çekme batma gibi sorunlar olmuyor ve istediğiniz şekili anında görebiliyorsunuz. almak isteyenlere , düşünenlere şiddetle tavsiye ederim. Jilet kullanmak istemeyenler için sinek kaydı tıraş için tr658 modeli ile sıfır şekilde alıp tr150 silindir başlıklı modeli ile de pürüzsüz hale getirebilirsiniz.buda benden bir tavsiye düşünenler için...,
Çok güzeli teşekkür ederim,
TÜM SAMİMİYETİMLE SÖYLUYORUM PHİLİPSİN BİR MODELİNİ 150 LİRA CİVARI BİR FİYATA ALMIŞTIM ZERRE MEMNUN KALMADIM AMA BU CİHAZDAN ÖYLE MEMNUNUMKİ İYİKİ ALMIŞIM DİYORUM. BEĞENMEYEN OLUMSUZ YORUM YAPANLARI ANLAMIYORUM GERÇEKTEN SÜPER DAHA FAZLA ARAŞTIRMAYA GEREK YOK AL KARDEŞ AL :,
görevini aksattığına denk gelmedim.,
Ürünü denedim süper tavsiye ederim,
ÜRÜN ÇOK GÜZEL MEMNUN KALDIM...,
Evet beyendım sakal için almıstım basarılıbuldum,
Begendim sarjli geliyir, yuzu incitmiyir kesmiyor, sadece 3 tarak koymalari cok az olmus,
Yorumlara bakarak aldım ama çok memnun kalmadım. Çok ince bir traş yapmıyor. İki üç günlük traş olmuşsunuz gibi. Sıfıra yakın bir traş bekliyordum. Geldiğinde hemen kullandım. Traşın sonlarına doğru bayağı ısındı ve ciltte yanma hissi oluşturmaya başladı. Sakalda herhangi bir çekme hissi yaşatmadı. Lavabonun etrafı bayağı kıl oldu. Temizlemekle uğraştım bayağı. Bence ıslak kuru bir makina alınmalı ve bu tür makineler duşta kullanılmalı. Herkese iyi alış verişler.,
Ürün güzel fiyat yüksek fırsatçı çok,
ürün parasına göre işinizi hayli hayli goruur,
harika bir ürün hem de yerli üretim,
ürün fiyatına göre güzel ama yurt içi kargo kötü adrese gelmeden adres sorunlu diyorlar korgoya gidib aldım sorunu ilettim elamanları ilgisiz adres sorunlu diye yazıp geçiyorlar.,
Bu ürünü Babama almıştım beğendiğim için bir tane de kendime aldım Fiyatına göre mükemmel.,
Ürünü beğenmedim tavsiye etmem kargo geç taraklar çok dandik 1 tanesi kırık geldi.,
Tarakları beş kuruş etmez,
Ürün tam istediğim gibi fiyat makul 2 yıl garanti samsung şarj aleti ile de şarj yapılabiliyor. Düşünenlere tavsiyem hemen alın pişman olmazsınız. Sizlere faydam olsun diye bu yorumu yazdım.,
evet ürün harika tasviye ederim,
ürün küçük ama yaptığı iş çok büyük memnun kaldim,
Ben ürünü sakal için aldım ama saç traşıda yaptım ben şahsen çok beyendim tavsiye ederim,
Arkadaşlar öncelikle magaza çok ilgisiz içinden faturası garanti belgesi cıkmadı magazaya msj cektim mail adresinize yollandı yazıyorlar yüz kere msj cektim arkadaşım benim kullandıgım mail adresi su lütfen bu adrese yolkarmısınıZ diyorum yollamıyorlar aldıgım ürün garantisşz faturasıZ lütfen 5 fazla verin başka magazadan alın lütfen ilgisiZler dalga geciyorlar insanla,
kesimi iyi , sakalı tam sıfır yapmiyor ama,
Başlıksız iyi kesiyor, fakat başlık takıldığında saç, sakal kesilmeden kayıp gidiyor. Yavaş ilerletildiğinde de durum aynı. Tarak ile birlikte başlıksız kullanım için uygun. Malzeme kaliteli görünüyor. Ancak, bu durumda kendi kendinize saç traşı olmanız zordur.,
Berberimde gördüm. Tavsiye üzerine aldım. Çok pratik ve kullanışlı. Bundan sonra berbere gitmeme gerek kalmadı.,
Ürün gayet güzel ve kullanışlı beklentiyi karşılıyor teşekkürler.,
Ürün güzeldi. Içerisinde tüm malzemeleri var. Paketleme daha iyi olabilirdi.,
Ürün iyı sayılır, Fakat kargoya çok gec verıyorlar 10 gun sonra falan.bana gelmesi 15 gün oldu. Paketleme kötü, tavsıye etmem,
urun boyut olarak kuçük ama kesim olarak guzel ilk tespitim ileride goreceyin azalma yada urun hakkinda...,
Bazı arkadaşlar gelen cihazın sakalını çektiğini vs söylemişler. Benimde çekti. Vidalı bölümü söktüm. Oynar başlık cihaz üzerinde kaldı. Normalde cihazın traş kısmındaki iki vidayı söktüğünüzde hareketli başlıkla beraber çıkması lazım. Buradan da anlaşılıyorki yatağından çıkmış. Oynar başlığı yatağın en ucundan itibaren başlayarak yatağa doğru itip oturtun, bu kadar. Sonra yerine oturtup iki vidayı sıkın.,
Resimdeki marka ürün geldi. Berberime danıştım, kısa saç için çok kullanışlı olduğunu kendisininde dükkanda kullandığını söyledi, onun için bu markayı tercih ettim . Haklıymış...,
Umarım uzun süre çalışır,
sakal için ideal, saç için ideal değil.,
Beğendim çok güzel ürün,
Ürünü kullanmadım. Bu nedenle ürün ile ilgili olumsuz bir şey söyleyemem. Sadece saç traşına uygun değil. Ben yanlış sipariş verdim,,
gayet güzel ve kaliteli,
sakal için aldım , beğendim, 1mm,2mm,3mm başlıkları var,
asla begenmedim,
ÜRÜN YORUMLARDA TAMDA YAZILDIĞI GBİ KENDİ KÜÇÜK AMA YAPTIĞI İŞ BÜYÜK ÇOK GUCLU,
Ürün çok iyi.Sağlam malzeme ve güçlü motoru var.bıçakları keskin.Bu fiyata kaçmaz.,
Saç kesmeyi düşünenler almasın 3numarası bile sıfıra yakın,
Kendim aydır kullanıyorum. Babama da aldım. İki defa ense ve yanları aldım. İki aylık sakalımı kademe kademe çok rahat bir şekilde aldı. Şarzı hala bitmedi. Çekme yapmadı. Tarak kısmı yetersiz. 1mm 2mm ve 3mm uzunluğunda tarakları var. Bunlar berberdeki 1 numara 2 numara 3 numara anlamında değildir. En uzun tarağı 3mm olanı berberdeki 1 numaraya denk gelir. en azından 6mm ve 9 mm taraklarda olsa daha kullanışlı olurdu. Telefon kabloları ile de şarj olması yolculuklar için avantaj. Tavsiye ederim.,
evet beğendim süper ürün hızlı gönderi,
Ürün dün geldi. Sadece deneme olarak çalıştırdık, şuan için bir sorun görünmüyor. İlerleyen zamanlarda performansı ile ilgili tekrar bilgi veririm.,
Ürün olarak çok güzel,
Ürün guzel fakat kargo yurt ici kargo Mersin Akdeniz Özgür şubesi 3 gun işlem yapmadan bekletti bana kargo 7 gunde ulaşti, 2 gunde kargolanmasini bekledik toplamda 9 günde elimize ulaştı, bu yuzden yıldızın birini eksik olarak işaretledim, urun de magazada super, kargo sıkıntı,
kullanışlı bir ürün arkadaslar,
Ürün anlatıldığı gibi yalnız biraz küçük iyiye benziyor kullanıp görmek lazım,
çok beğendim tam istediğim ürün,
evet çok beğendim tam istediğim üründü,
Evet çok başarılı,
makina iş görecektir diye düşünüyorum. paket biraz daha özenle yapılsa iyi olur...,
evet motoru güçlü is gorur,
parasına göre iyi bir ürün,
Evet çok teşekkür ediyorum,
jilet kadar sıfır alıyor denmiş yorumlarda ayarından ayarladım ama jilet kadar degil 2 günlük sakal kadar alıyor,
ucuz olmasına rağmen iyi sayılacak derecede traşı fena değil sakalları sıfır alıyor sinek kaydı olmasın diyorsanız işinizi görecekdir,
Ürün başarılı beğendim sıfıra yakın alıyor tek eksik faturasız göndermişler.,
Ya tek bende mi oldu bilmiyorum makineyi aldım yagladim ve ondan sonra ilk defa kullandım ve çizgi kıp kırmızı oldu resmen yandı jilet le keser gibi kesti yağladım ama yine de fayda etmedi kesme konusunda çok iyi kesiyor ona bisey diyemem ama jilet atmış gibi oldu her yerim yardım edin bu konuda,
herşey anlatıldığı gibi,
almış olduğum ürün anlatıldığı gibi emeği geçen herkese teşekkür ederek,
Şiddetle tavsiye ederim çok iyi,
Siparişim çok özensiz bir şekilde paketlenmiş olup, satıcı firma ne kargo ile ne de mail üzerinden fatura gönderimi yapmadı. Defalarca fatura talebi iletmeme rağmen, mail üzerinden bile fatura gönderilmedi. Hakkınızda N11 üzerinden şikayet talebinde bulunacağım.,
Çok güzel paketleme ile hızlı bir şekilde gönderdi mağaza teşekkürler daha kullanma fırsatı olmadı ama yorumları çok iyi diye aldım zaten...,
